Convinaciones: 	antes	imagen	despues
FP	tubos (mario)	flappy bird	saltar a lo flappy
FQ	fresa	fresa	para en clavos (faquir)
FR	2 dedos	frezzer 	poder de dedo arriba
FS	fosforo	force	explicando
FT	camara	frito	toman foto
FU	balon futbol	futurama	alza trofeo
FV	muñeco	freddy	alumbrar (linterna)
FW	cabello de piña	fuwa	pone mano atrás
GA	lasaña	garfield	simbolo manos (U)
GB	extensiones	gabilonia	sale volando globo (chavo)
GC	pistola	gichin funakoshi	arrodilla (posicion de maestro)
GD	barriga	gaddafi	celebrar (manos unidas)
GE	gafas viejito	gepetto	rasca cabeza
GF	dos colmillos (cada lado)	goofy	loco (manos orejas y lengua afuera)
GH	cubo con bandera peru	gianfranco	solve sub 1 seg
GI	girasol	jordi wild	se le parten las piernas
GJ	cabello de ssj2	gohan	llorar 
GK	cabello blanco	goku	kamekamehaaaa
GL	en agua (solo se ve ojos)	gloria	presume musculos
GM	solo un diente	gumball	correr (manos atrás temblando)
GN 	pañoleta en boca	ganster	agachar como san andreas
GO	cola lagarto	godzilla	escupe agua
GP	cola de colores	pez (guppy)	nadar
GQ	zapatillas	gq (sexy)	genkidama
GR	cartel de "Like si ves"	german	"Hermanoos"
GS	pipeta de gas	gaston	risa
GT	cinturon negro	goten	fusion
GU	casco de obrero	gusano	convertirse en mariposa
GV	lapiz	gabriel garcia	pez en boca
GW	martillo gigante	god of war ( rey barbaro)	martillo al piso
HA	cabello corto	Hanna	dibujar anime
HB	flechas	hobbit	disparar flecha
HC	esqueleto	hector	se aranca la cabeza
HD	chuzos en todo el cuerpo	hades	se le desaparece la cara
HE	pelo solo a los lados 	mr satan	en x con 2 dedos arriba
HF	chipote chilllon	chapulin colorado	no contaban con mi astucia
HG	pelo y barba larga	hagrid	visco
HI	boso	hitler	mano arriba
HJ	guantes de boxeo	hajime no ippo	entrenar boxeo
HK	sin camisa	hulk	crecer verde
HL	moño cabeza	hello kitty	picar ojo
HM	3 pelos	homero	tomar cerveza
HN	cuellera de naruto	hinata	se sonroja
HO	cuello remendado	hotel transilvania	zombi
HP	gafas redondas	harry poter	volar con escoba
HQ	bolso de correa	hq	mano bolsillo y otra en cabeza
HR	hueco debajo del ojo	harley quinn	huracan
HS	pokebola	ash	tirar poquebola
HT	cabello hasta el piso	hatsune miku	baile japones
HU	cicatriz (3 rallas)	hugh jackman	sacar garras (x-men)
HV	cejas en sic sac	huevo	apretar buso (solo se ve nariz)
HW	risa de calabasa	hallowen	sabana encima (fantasma)
IA	collar en pierna	ia	crece cabello
IB	rosa morada	ib	se va en chiba
IC	en posicion de oracion	icarly	arrodilla 
ID	avion de papel	ida vitale	identificarse
IE	timer	pie	tildarse (internet explore)
IF	sin dedos	infernal	derretir piso y caer
IG	cola con moño	igor	se va triste
IH	pecas	chilindrina	llorar 
IJ	patineta	bart simpson	patinando
IK	moreno	obama	zoom y se rie
IL	tapa ojo	ilumitane	ilusion
IM	gafas negras	amigo imaginario	imprime
IN	orejas ensima de cabello	inuyasha	espadazo al piso
IO	ki morado en braso	iori	rallo
IP	buso de pelos	hipo	junta cabeza con dragon
IQ	caparason	chiqui	sale de la represa
IR	trebol	irlandes	sale arcoiris
IS	aretes grandes(isma)	isiodoro	pestañar (pestaña grandes)
IT	ojos rojos	itachi	espiritus alrededor
IU	manta que cubre todo el cuerpo	hindu	monta en culumpiu (iiuuuuu)
IV	traje de planta	ivy	crece ramas del piso
IW	llanta	idw (transformer)	se transforma en carro
JA	"boso" (forma de n)	jake (perro)	se alza estirando las piernas
JB	cabello de meduza	jabba	usar cabeza de meduza 
JC	corbata de chuzos (cuello)	jack	mirar feo
